address,fuel,name,Longitude,Latitude,Time
"4021-4029 Benton St NW, Washington, DC 20007, USA",31,EC6532,-77.0806,38.92078,5/19/2017 1:07
"4021-4029 Benton St NW, Washington, DC 20007, USA",31,EC6532,-77.0806,38.92078,5/19/2017 12:13
"3207 Grace St NW, Washington, DC 20007, USA",100,EC6532,-77.06351,38.90399,5/19/2017 12:58
"3207 Grace St NW, Washington, DC 20007, USA",100,EC6532,-77.06351,38.90399,5/19/2017 13:08
"1717 N St NW, Washington, DC 20036, USA",100,EC6532,-77.03915,38.90726,5/19/2017 13:48
"1717 N St NW, Washington, DC 20036, USA",100,EC6532,-77.03915,38.90726,5/19/2017 13:53
"500-598 4th St NW, Washington, DC 20001, USA",53,EC6533,-77.01619,38.89688,5/18/2017 13:36
"500-598 4th St NW, Washington, DC 20001, USA",53,EC6533,-77.01619,38.89688,5/18/2017 14:47
"700-714 Lamont St NW, Washington, DC 20010, USA",50,EC6533,-77.02379,38.93097,5/18/2017 15:17
"700-714 Lamont St NW, Washington, DC 20010, USA",50,EC6533,-77.02379,38.93097,5/18/2017 20:53
"701 Lamont St NW, Washington, DC 20010, USA",46,EC6533,-77.0238,38.93104,5/18/2017 22:04
"701 Lamont St NW, Washington, DC 20010, USA",46,EC6533,-77.0238,38.93104,5/19/2017 0:01
"27 Rock Creek Church Rd NW, Washington, DC 20011, USA",46,EC6533,-77.01237,38.94358,5/19/2017 0:17
"27 Rock Creek Church Rd NW, Washington, DC 20011, USA",46,EC6533,-77.01237,38.94358,5/19/2017 7:29
"1250-1252 10th St NW, Washington, DC 20001, USA",43,EC6533,-77.02601,38.90687,5/19/2017 7:50
"1250-1252 10th St NW, Washington, DC 20001, USA",43,EC6533,-77.02601,38.90687,5/19/2017 8:20
"3030-3098 12th St NE, Washington, DC 20017, USA",40,EC6533,-76.99075,38.92845,5/19/2017 9:00
"3030-3098 12th St NE, Washington, DC 20017, USA",40,EC6533,-76.99075,38.92845,5/19/2017 9:16
"2414 10th St NE, Washington, DC 20018, USA",90,EC6533,-76.99246,38.92199,5/19/2017 10:37
"2414 10th St NE, Washington, DC 20018, USA",90,EC6533,-76.99246,38.92199,5/19/2017 12:18
"1255 S Hamilton Dr, Arlington, VA 22204, USA",53,EC6536,-77.11412,38.84799,5/18/2017 13:36
"1255 S Hamilton Dr, Arlington, VA 22204, USA",53,EC6536,-77.11412,38.84799,5/18/2017 19:06
"1500-1574 S Hayes St, Arlington, VA 22202, USA",50,EC6536,-77.05982,38.85953,5/18/2017 19:21
"1500-1574 S Hayes St, Arlington, VA 22202, USA",50,EC6536,-77.05982,38.85953,5/19/2017 9:16
"2300-2498 N Pershing Dr, Arlington, VA 22201, USA",50,EC6536,-77.08631,38.88058,5/19/2017 9:46
"2300-2498 N Pershing Dr, Arlington, VA 22201, USA",50,EC6536,-77.08631,38.88058,5/19/2017 10:37
"2100 S Fern St, Arlington, VA 22202, USA",46,EC6536,-77.05541,38.85457,5/19/2017 11:07
"2100 S Fern St, Arlington, VA 22202, USA",46,EC6536,-77.05541,38.85457,5/19/2017 11:53
"301 D St SE, Washington, DC 20003, USA",43,EC6536,-77.00243,38.88429,5/19/2017 12:23
"301 D St SE, Washington, DC 20003, USA",43,EC6536,-77.00243,38.88429,5/19/2017 13:53
"1001-1017 New Jersey Ave SE, Washington, DC 20003, USA",53,EC6538,-77.00471,38.87792,5/18/2017 15:12
"1001-1017 New Jersey Ave SE, Washington, DC 20003, USA",53,EC6538,-77.00471,38.87792,5/18/2017 18:41
"1740 13th St NW, Washington, DC 20009, USA",50,EC6538,-77.0297,38.91397,5/18/2017 19:06
"1740 13th St NW, Washington, DC 20009, USA",50,EC6538,-77.0297,38.91397,5/18/2017 19:06
"917 N St NW, Washington, DC 20001, USA",46,EC6538,-77.02495,38.90724,5/18/2017 20:12
"917 N St NW, Washington, DC 20001, USA",46,EC6538,-77.02495,38.90724,5/18/2017 20:27
"1116 D St SE, Washington, DC 20003, USA",43,EC6538,-76.9907,38.8842,5/18/2017 20:48
"1116 D St SE, Washington, DC 20003, USA",43,EC6538,-76.9907,38.8842,5/18/2017 21:39
"5352 East Capitol St NE, Washington, DC 20019, USA",43,EC6538,-76.92373,38.88988,5/18/2017 22:09
"5352 East Capitol St NE, Washington, DC 20019, USA",43,EC6538,-76.92373,38.88988,5/19/2017 7:34
"1834 A St SE, Washington, DC 20003, USA",40,EC6538,-76.97746,38.88873,5/19/2017 7:50
"1834 A St SE, Washington, DC 20003, USA",40,EC6538,-76.97746,38.88873,5/19/2017 9:26
"1132 29th St NW, Washington, DC 20007, USA",37,EC6538,-77.0581,38.90489,5/19/2017 10:01
"1132 29th St NW, Washington, DC 20007, USA",37,EC6538,-77.0581,38.90489,5/19/2017 13:28
"3409 R St NW, Washington, DC 20007, USA",34,EC6538,-77.06816,38.91378,5/19/2017 13:38
"3409 R St NW, Washington, DC 20007, USA",34,EC6538,-77.06816,38.91378,5/19/2017 13:53
"2118 4th St NE, Washington, DC 20002, USA",34,EC6540,-77.00069,38.91845,5/18/2017 16:18
"2118 4th St NE, Washington, DC 20002, USA",34,EC6540,-77.00069,38.91845,5/19/2017 6:44
"1435 P St NW, Washington, DC 20005, USA",31,EC6540,-77.03335,38.90972,5/19/2017 7:14
"1435 P St NW, Washington, DC 20005, USA",31,EC6540,-77.03335,38.90972,5/19/2017 7:14
"3303 Water St NW, Washington, DC 20007, USA",31,EC6540,-77.06684,38.90384,5/19/2017 7:50
